@relation 'training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R1-12,17-28,36'

@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute ghost1_dist numeric
@attribute ghost2_dist numeric
@attribute ghost3_dist numeric
@attribute ghost4_dist numeric
@attribute pacdots_remaining numeric
@attribute nearestpacdot_dist numeric
@attribute currentTickScore numeric
@attribute nextTickScore numeric

@data
True,True,True,True,12,10,13,19,121,1,-2,97
True,True,True,True,11,9,12,18,120,1,97,196
True,True,True,True,10,8,11,17,119,1,196,295
True,True,True,True,9,7,10,16,118,1,295,394
True,True,True,True,10,6,9,15,117,1,394,393
True,True,True,True,11,5,8,14,117,1,393,492
True,True,True,True,10,4,9,13,116,1,492,591
True,True,True,True,9,3,10,12,115,1,591,590
True,True,True,True,8,2,11,11,115,1,590,689
True,True,True,True,7,1,12,12,114,1,689,888
True,False,True,True,6,-1,13,13,114,1,888,987
True,False,True,True,5,-1,14,14,113,1,987,986
True,False,True,True,4,-1,15,15,113,1,986,1085
True,False,True,True,3,-1,16,16,112,1,1085,1084
True,False,True,True,2,-1,17,17,112,1,1084,1083
True,False,True,True,1,-1,18,18,112,1,1083,1282
False,False,True,True,-1,-1,19,19,112,1,1282,1381
False,False,True,True,-1,-1,18,18,111,1,1381,1380
False,False,True,True,-1,-1,17,17,111,1,1380,1379
False,False,True,True,-1,-1,16,16,111,1,1379,1378
False,False,True,True,-1,-1,15,15,111,2,1378,1377
False,False,True,True,-1,-1,14,14,111,2,1377,1376
False,False,True,True,-1,-1,13,13,111,1,1376,1375
False,False,True,True,-1,-1,12,12,111,1,1375,1474
False,False,True,True,-1,-1,11,11,110,1,1474,1573
False,False,True,True,-1,-1,10,10,109,1,1573,1672
False,False,True,True,-1,-1,9,9,108,1,1672,1671
False,False,True,True,-1,-1,8,8,108,1,1671,1670
False,False,True,True,-1,-1,7,7,108,1,1670,1769
False,False,True,True,-1,-1,6,6,107,1,1769,1768
False,False,True,True,-1,-1,5,5,107,1,1768,1767
False,False,True,True,-1,-1,4,4,107,1,1767,1866
False,False,True,True,-1,-1,3,3,106,1,1866,1865
False,False,True,True,-1,-1,2,4,106,1,1865,1864
False,False,True,True,-1,-1,1,5,106,1,1864,2063
False,False,False,True,-1,-1,-1,6,106,1,2063,2162
False,False,False,True,-1,-1,-1,5,105,1,2162,2161
False,False,False,True,-1,-1,-1,4,105,1,2161,2160
False,False,False,True,-1,-1,-1,3,105,1,2160,2259
False,False,False,True,-1,-1,-1,2,104,1,2259,2358
False,False,False,True,-1,-1,-1,1,103,1,2358,2557
True,True,True,True,16,13,12,15,229,1,0,99
True,True,True,True,17,14,13,13,228,1,99,198
True,True,True,True,16,14,13,11,227,1,198,297
True,True,True,True,15,12,11,11,226,1,297,396
True,True,True,True,15,12,11,11,225,1,396,495
True,True,True,True,17,14,12,10,224,1,495,594
True,True,True,True,18,16,12,11,223,1,594,693
True,True,True,True,16,15,12,10,222,1,693,792
True,True,True,True,16,14,11,9,221,1,792,891
True,True,True,True,14,12,9,9,220,1,891,990
True,True,True,True,14,12,10,11,219,1,990,1089
True,True,True,True,14,13,12,11,218,1,1089,1188
True,True,True,True,15,15,13,13,217,1,1188,1287
True,True,True,True,15,13,13,13,216,1,1287,1386
