@relation 'training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R1-3,11-12,25-28,33-35,37-weka.filters.unsupervised.attribute.AddExpression-Ea12-a1-Ndiff1_x-weka.filters.unsupervised.attribute.AddExpression-Ea14-a1-Ndiff2_x-weka.filters.unsupervised.attribute.AddExpression-Ea16-a1-Ndiff3_x-weka.filters.unsupervised.attribute.AddExpression-Ea18-a1-Ndiff4_x-weka.filters.unsupervised.attribute.AddExpression-Ea13-a2-Ndiff1_y-weka.filters.unsupervised.attribute.AddExpression-Ea15-a2-Ndiff2_y-weka.filters.unsupervised.attribute.AddExpression-Ea17-a2-Ndiff3_y-weka.filters.unsupervised.attribute.AddExpression-Ea19-a2-Ndiff4_y'

@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost1_dist numeric
@attribute ghost2_dist numeric
@attribute ghost3_dist numeric
@attribute ghost4_dist numeric
@attribute pacman_action {East,North,South,Stop,West,None}
@attribute diff1_x numeric
@attribute diff2_x numeric
@attribute diff3_x numeric
@attribute diff4_x numeric
@attribute diff1_y numeric
@attribute diff2_y numeric
@attribute diff3_y numeric
@attribute diff4_y numeric

@data
9,3,True,False,True,True,True,True,True,True,True,9,6,9,6,10,6,16,7,3,3,4,12,North,0,0,1,7,3,3,3,4
9,4,True,True,False,False,True,True,True,True,True,9,6,9,6,10,6,17,7,2,2,3,10,North,0,0,1,8,2,2,2,3
9,5,True,True,True,True,True,False,True,True,True,1,1,9,7,10,5,16,7,-1,2,1,9,East,-8,0,1,7,-4,2,0,2
10,5,True,False,True,True,True,False,True,False,True,1,1,10,7,6,1,16,7,-1,2,-1,7,North,-9,0,-4,6,-4,2,-4,2
10,6,True,True,False,True,True,False,True,False,True,1,1,9,7,6,2,15,7,-1,2,8,7,West,-9,-1,-4,5,-5,1,-4,1
9,6,True,True,True,False,True,False,True,False,True,1,2,8,7,6,3,16,7,12,2,6,7,North,-8,-1,-3,7,-4,1,-3,1
9,7,False,True,True,True,True,False,True,False,True,1,2,8,7,6,2,15,7,13,1,8,6,West,-8,-1,-3,6,-5,0,-5,0
8,7,False,False,True,True,True,False,False,False,True,1,2,3,1,6,2,15,7,12,-1,7,7,East,-7,-5,-2,7,-5,-6,-5,0
9,7,False,True,True,True,True,False,False,False,True,1,3,3,1,6,1,15,7,12,-1,-1,7,East,-8,-6,-3,6,-4,-6,-6,0
10,7,False,True,True,True,True,False,False,False,True,1,2,3,2,6,1,15,6,14,12,-1,5,East,-9,-7,-4,5,-5,-5,-6,-1
11,7,False,False,True,True,True,False,False,False,True,1,2,3,3,6,2,15,7,15,12,10,5,East,-10,-8,-5,4,-5,-4,-5,0
12,7,False,False,True,True,True,False,False,False,True,1,3,3,3,6,2,15,6,15,13,11,4,East,-11,-9,-6,3,-4,-4,-5,-1
13,7,False,True,False,True,True,False,False,False,True,1,2,3,4,6,3,15,6,17,13,11,4,South,-12,-10,-7,2,-5,-3,-4,-1
13,6,True,True,False,False,True,False,False,False,True,1,3,3,5,6,4,15,5,15,11,9,2,South,-12,-10,-7,2,-3,-1,-2,-1
13,5,True,True,True,False,True,False,False,False,True,1,4,4,5,6,3,14,5,13,9,9,1,East,-12,-9,-7,1,-1,0,-2,0
9,1,False,False,True,True,True,True,True,True,True,8,5,10,5,11,5,17,7,5,5,6,14,West,-1,1,2,8,4,4,4,6
8,1,True,False,True,True,True,True,True,True,True,8,5,11,5,10,5,17,7,4,7,6,15,North,0,3,2,9,4,4,4,6
8,2,True,True,False,False,True,True,True,True,True,9,5,10,5,11,5,17,7,4,5,6,15,North,1,2,3,9,3,3,3,5
8,3,False,True,True,False,True,True,True,True,True,8,5,11,5,10,5,18,7,2,5,4,13,East,0,3,2,10,2,2,2,4
9,3,True,False,True,True,True,True,True,True,True,8,5,10,5,10,5,18,6,3,3,3,11,North,-1,1,1,9,2,2,2,3
9,4,True,True,False,False,True,True,True,True,True,7,5,11,5,10,5,18,5,3,3,2,9,North,-2,2,1,9,1,1,1,1
9,5,True,True,True,True,True,True,True,True,True,8,5,11,5,11,5,17,5,1,2,2,9,West,-1,2,2,8,0,0,0,0
8,5,False,False,True,True,True,False,True,True,True,1,2,10,5,11,5,18,5,10,2,3,11,East,-7,2,3,10,-3,0,0,0
9,5,True,True,True,True,True,False,True,True,True,1,2,11,5,10,5,18,4,11,2,1,9,East,-8,2,1,9,-3,0,0,-1
10,5,True,False,True,True,True,False,False,False,True,1,2,3,1,6,1,18,5,12,-1,-1,7,North,-9,-7,-4,8,-3,-4,-4,0
10,6,True,True,False,True,True,False,False,False,True,1,1,4,1,5,1,17,5,-1,-1,-1,7,North,-9,-6,-5,7,-5,-5,-5,-1
10,7,False,True,True,True,True,False,False,False,True,1,1,4,1,5,1,16,5,-1,-1,-1,7,East,-9,-6,-5,6,-6,-6,-6,-2
11,7,False,False,True,True,True,False,False,False,True,1,1,3,1,6,1,15,5,-1,-1,-1,5,East,-10,-8,-5,4,-6,-6,-6,-2
12,7,False,False,True,True,True,False,False,False,True,1,1,3,1,6,2,14,5,-1,-1,11,5,East,-11,-9,-6,2,-6,-6,-5,-2
13,7,False,True,False,True,True,False,False,False,True,1,1,3,2,6,3,15,5,-1,15,11,4,South,-12,-10,-7,2,-6,-5,-4,-2
13,6,True,True,False,False,True,False,False,False,True,1,1,3,1,6,2,15,5,-1,-1,11,2,South,-12,-10,-7,2,-5,-5,-4,-1
13,5,True,True,True,False,True,False,False,False,True,1,2,3,2,6,1,14,5,15,13,-1,2,East,-12,-10,-7,1,-3,-3,-4,0
14,5,False,False,True,True,True,False,False,False,True,1,3,3,1,6,1,15,5,15,-1,-1,2,East,-13,-11,-8,1,-2,-4,-4,0
15,5,True,False,True,True,True,False,False,False,True,1,2,3,2,5,1,16,5,17,15,-1,1,East,-14,-12,-10,1,-3,-3,-4,0
1,18,False,True,True,False,True,True,True,True,True,5,9,11,3,17,6,25,7,13,25,28,35,South,4,10,16,24,-9,-15,-12,-11
1,17,True,True,False,False,True,True,True,True,True,5,9,11,3,17,6,25,7,12,24,27,34,South,4,10,16,24,-8,-14,-11,-10
1,16,True,True,True,False,True,True,True,True,True,5,9,11,3,17,6,25,7,11,23,26,33,South,4,10,16,24,-7,-13,-10,-9
1,15,True,True,True,False,True,True,True,True,True,5,9,11,3,17,6,25,7,10,22,25,32,South,4,10,16,24,-6,-12,-9,-8
1,14,True,True,True,False,True,True,True,True,True,5,9,11,3,17,6,25,7,9,21,24,31,South,4,10,16,24,-5,-11,-8,-7
1,13,True,True,False,False,True,True,True,True,True,5,9,11,3,17,6,25,7,8,20,23,30,South,4,10,16,24,-4,-10,-7,-6
1,12,True,True,True,False,True,True,True,True,True,5,9,11,3,17,6,25,7,7,19,22,29,South,4,10,16,24,-3,-9,-6,-5
1,11,True,True,False,False,True,True,True,True,True,5,9,11,3,17,6,25,7,6,18,21,28,South,4,10,16,24,-2,-8,-5,-4
1,10,True,True,False,False,True,True,True,True,True,5,9,11,3,17,6,25,7,5,17,20,27,South,4,10,16,24,-1,-7,-4,-3
1,9,True,True,False,False,True,True,True,True,True,5,9,11,3,17,6,25,7,4,16,19,26,South,4,10,16,24,0,-6,-3,-2
1,8,True,True,False,False,True,True,True,True,True,5,9,11,3,17,6,25,7,5,15,18,25,South,4,10,16,24,1,-5,-2,-1
1,7,True,True,False,False,True,True,True,True,True,5,9,11,3,17,6,25,7,6,14,17,24,South,4,10,16,24,2,-4,-1,0
1,6,True,True,True,False,True,True,True,True,True,5,9,11,3,17,6,25,7,7,13,16,25,East,4,10,16,24,3,-3,0,1
2,6,False,True,True,True,True,True,True,True,True,5,9,11,3,17,6,25,7,6,12,15,24,East,3,9,15,23,3,-3,0,1
3,6,True,True,True,True,True,True,True,True,True,5,9,11,3,17,6,25,7,5,11,14,23,East,2,8,14,22,3,-3,0,1
4,6,True,True,True,True,True,True,True,True,True,5,9,11,3,17,6,25,7,4,10,13,22,East,1,7,13,21,3,-3,0,1
5,6,True,True,True,True,True,True,True,True,True,5,9,11,3,17,6,25,7,3,9,12,21,North,0,6,12,20,3,-3,0,1
5,7,True,True,True,True,True,True,True,True,True,5,9,11,3,17,6,25,7,2,10,13,20,North,0,6,12,20,2,-4,-1,0
5,8,True,True,True,True,True,True,True,True,True,5,9,11,3,17,6,25,7,1,11,14,21,North,0,6,12,20,1,-5,-2,-1
5,9,True,True,True,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,12,15,22,East,-4,6,12,20,-8,-6,-3,-2
6,9,True,True,False,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,11,14,21,South,-5,5,11,19,-8,-6,-3,-2
6,8,True,True,False,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,10,13,20,South,-5,5,11,19,-7,-5,-2,-1
6,7,True,True,False,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,9,12,19,South,-5,5,11,19,-6,-4,-1,0
6,6,True,False,True,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,8,11,20,East,-5,5,11,19,-5,-3,0,1
7,6,False,False,True,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,7,10,19,East,-6,4,10,18,-5,-3,0,1
8,6,True,True,True,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,6,9,18,East,-7,3,9,17,-5,-3,0,1
9,6,True,True,True,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,5,8,17,East,-8,2,8,16,-5,-3,0,1
10,6,True,True,True,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,4,7,16,East,-9,1,7,15,-5,-3,0,1
11,6,True,True,False,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,3,6,15,South,-10,0,6,14,-5,-3,0,1
11,5,True,True,False,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,2,7,16,South,-10,0,6,14,-4,-2,1,2
11,4,True,True,False,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,1,8,17,South,-10,0,6,14,-3,-1,2,3
11,3,True,False,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,9,18,North,-10,-8,6,14,-2,-2,3,4
11,4,True,True,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,8,17,North,-10,-8,6,14,-3,-3,2,3
11,5,True,True,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,7,16,North,-10,-8,6,14,-4,-4,1,2
11,6,True,True,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,6,15,North,-10,-8,6,14,-5,-5,0,1
11,7,True,True,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,7,14,North,-10,-8,6,14,-6,-6,-1,0
11,8,True,True,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,8,15,North,-10,-8,6,14,-7,-7,-2,-1
11,9,True,True,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,9,16,North,-10,-8,6,14,-8,-8,-3,-2
11,10,True,True,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,10,17,North,-10,-8,6,14,-9,-9,-4,-3
11,11,True,True,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,11,18,North,-10,-8,6,14,-10,-10,-5,-4
11,12,False,True,True,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,12,19,East,-10,-8,6,14,-11,-11,-6,-5
12,12,False,False,True,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,11,18,East,-11,-9,5,13,-11,-11,-6,-5
13,12,False,True,True,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,10,17,East,-12,-10,4,12,-11,-11,-6,-5
14,12,True,True,True,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,9,16,South,-13,-11,3,11,-11,-11,-6,-5
14,11,True,True,True,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,8,15,South,-13,-11,3,11,-10,-10,-5,-4
14,10,True,True,True,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,7,14,South,-13,-11,3,11,-9,-9,-4,-3
14,9,True,True,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,6,13,South,-13,-11,3,11,-8,-8,-3,-2
14,8,True,True,True,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,5,12,South,-13,-11,3,11,-7,-7,-2,-1
14,7,True,True,False,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,4,11,South,-13,-11,3,11,-6,-6,-1,0
14,6,True,True,True,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,3,12,East,-13,-11,3,11,-5,-5,0,1
15,6,False,False,True,True,True,False,False,True,True,1,1,3,1,17,6,25,7,-1,-1,2,11,East,-14,-12,2,10,-5,-5,0,1
