@relation 'training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R1-3,11,25-28,33-34,37-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.AddExpression-Ea12-a1-Ndiff1_x-weka.filters.unsupervised.attribute.AddExpression-Ea14-a1-Ndiff2_x-weka.filters.unsupervised.attribute.AddExpression-Ea16-a1-Ndiff3_x-weka.filters.unsupervised.attribute.AddExpression-Ea18-a1-Ndiff4_x-weka.filters.unsupervised.attribute.AddExpression-Ea13-a2-Ndiff1_y-weka.filters.unsupervised.attribute.AddExpression-Ea15-a2-Ndiff2_y-weka.filters.unsupervised.attribute.AddExpression-Ea17-a2-Ndiff3_y-weka.filters.unsupervised.attribute.AddExpression-Ea19-a2-Ndiff4_y-weka.filters.unsupervised.attribute.Remove-R12-23'

@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute pacman_action {East,North,South,Stop,West,None}
@attribute diff1_x numeric
@attribute diff2_x numeric
@attribute diff3_x numeric
@attribute diff4_x numeric
@attribute diff1_y numeric
@attribute diff2_y numeric
@attribute diff3_y numeric
@attribute diff4_y numeric

@data
4,12,False,True,True,True,True,True,True,True,True,Stop,6,7,15,18,-7,-4,0,-3
4,12,False,True,True,True,True,True,True,True,True,Stop,7,8,14,18,-7,-4,0,-4
4,12,False,True,True,True,True,True,True,True,True,East,7,8,15,18,-8,-3,0,-4
5,12,False,True,True,True,True,True,True,True,True,East,6,6,14,17,-7,-3,-1,-3
6,12,False,True,True,True,True,True,True,True,True,East,4,5,13,16,-7,-4,-2,-4
7,12,False,True,True,True,True,True,True,True,True,East,3,4,12,15,-6,-5,-2,-5
8,12,False,True,True,True,True,True,True,True,True,East,2,3,11,14,-7,-4,-2,-5
9,12,False,True,True,True,True,True,True,True,True,East,1,2,9,13,-8,-5,-2,-4
10,12,False,True,True,True,True,True,True,True,True,South,0,1,8,12,-8,-6,-2,-5
10,11,True,True,True,True,True,True,True,True,True,South,0,1,9,12,-7,-4,-1,-3
10,10,True,True,True,True,True,True,True,True,True,South,-1,1,9,13,-6,-4,-1,-2
10,9,True,True,True,True,True,True,True,True,True,South,-1,1,9,13,-5,-3,-1,-1
10,8,True,True,True,True,True,True,True,True,True,South,-2,0,9,12,-4,-2,1,0
10,7,True,True,True,True,True,True,False,True,True,South,-1,-7,9,12,-3,-6,3,2
10,6,True,True,True,True,True,True,False,True,True,South,-2,-7,9,12,-2,-5,3,2
10,5,True,True,True,True,True,True,False,True,True,South,-2,-7,9,12,-2,-4,4,4
10,4,True,True,True,True,True,True,False,True,True,South,-2,-7,8,12,0,-3,5,5
10,3,True,False,True,True,True,True,False,True,True,West,-2,-7,7,11,2,-2,6,6
9,3,True,False,True,True,True,True,False,True,True,West,-1,-6,8,13,1,-2,5,6
8,3,True,False,True,True,True,True,False,True,True,North,0,-5,10,14,2,-2,5,5
8,4,True,True,True,True,True,False,False,True,True,North,-7,-5,10,14,-3,-3,5,3
8,5,True,True,True,True,True,False,False,True,True,North,-7,-5,10,14,-4,-4,3,1
8,6,True,True,True,True,True,False,False,True,True,East,-7,-5,11,14,-5,-5,2,1
9,6,True,True,True,True,True,False,False,True,True,East,-8,-6,10,13,-5,-5,3,2
10,6,True,True,True,True,True,False,False,True,True,East,-9,-7,9,11,-5,-5,3,2
11,6,True,True,True,True,True,False,False,True,True,East,-10,-8,8,11,-5,-5,3,2
12,6,True,True,True,True,True,False,False,True,True,East,-11,-9,7,11,-5,-5,4,2
13,6,True,True,True,True,True,False,False,True,True,East,-12,-10,6,10,-5,-5,3,3
14,6,True,True,True,True,True,False,False,True,True,East,-13,-11,5,9,-5,-5,4,2
15,6,True,True,True,True,True,False,False,True,True,East,-14,-12,4,7,-5,-5,4,2
16,6,True,True,True,True,True,False,False,True,True,East,-15,-13,3,5,-5,-5,4,2
17,6,True,True,True,True,True,False,False,True,True,North,-16,-14,3,4,-5,-5,4,1
17,7,True,True,True,True,True,False,False,True,True,North,-16,-14,3,3,-6,-6,2,0
17,8,True,True,True,True,True,False,False,True,True,North,-16,-14,3,2,-7,-7,1,-1
17,9,True,True,True,True,True,False,False,True,True,East,-16,-14,4,2,-8,-8,0,-3
18,9,True,True,True,True,True,False,False,True,True,East,-17,-15,4,0,-8,-8,0,-3
19,9,True,True,True,True,True,False,False,True,True,East,-18,-16,3,-1,-8,-8,-1,-4
20,9,True,True,True,True,True,False,False,True,True,South,-19,-17,1,-2,-8,-8,-1,-5
20,8,True,True,True,True,True,False,False,False,True,West,-19,-17,-15,-1,-7,-7,-7,-4
19,8,True,True,True,True,True,False,False,False,True,West,-18,-16,-14,0,-7,-7,-7,-3
18,8,True,True,True,True,True,False,False,False,True,West,-17,-15,-13,1,-7,-7,-7,-3
17,8,True,True,True,True,True,False,False,False,True,South,-16,-14,-12,2,-7,-7,-7,-3
17,7,True,True,True,True,True,False,False,False,True,South,-16,-14,-12,1,-6,-6,-6,-2
17,6,True,True,True,True,True,False,False,False,True,South,-16,-14,-12,1,-5,-5,-5,0
17,5,True,True,True,True,True,False,False,False,True,South,-16,-14,-12,2,-4,-4,-4,1
17,4,True,True,True,True,True,False,False,False,True,South,-16,-14,-12,2,-3,-3,-3,3
17,3,True,False,True,True,True,False,False,False,True,East,-16,-14,-12,2,-2,-2,-2,5
18,3,True,False,True,True,True,False,False,False,True,North,-17,-15,-13,1,-2,-2,-2,6
18,4,True,True,True,True,True,False,False,False,True,North,-17,-15,-13,2,-3,-3,-3,5
18,5,True,True,True,True,True,False,False,False,True,North,-17,-15,-13,2,-4,-4,-4,4
18,6,True,True,True,True,True,False,False,False,True,East,-17,-15,-13,2,-5,-5,-5,2
19,6,True,True,True,True,True,False,False,False,True,East,-18,-16,-14,1,-5,-5,-5,3
20,6,True,True,True,True,True,False,False,False,True,North,-19,-17,-15,1,-5,-5,-5,3
20,7,True,True,True,True,True,False,False,False,True,North,-19,-17,-15,1,-6,-6,-6,3
