@relation 'training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R1-3,11-12,25-28,33-35,37'

@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost1_dist numeric
@attribute ghost2_dist numeric
@attribute ghost3_dist numeric
@attribute ghost4_dist numeric
@attribute pacman_action {East,North,South,Stop,West,None}

@data
12,7,False,False,True,True,True,False,False,False,True,1,1,3,1,6,2,14,5,-1,-1,11,5,East
13,7,False,True,False,True,True,False,False,False,True,1,1,3,2,6,3,15,5,-1,15,11,4,South
13,6,True,True,False,False,True,False,False,False,True,1,1,3,1,6,2,15,5,-1,-1,11,2,South
13,5,True,True,True,False,True,False,False,False,True,1,2,3,2,6,1,14,5,15,13,-1,2,East
14,5,False,False,True,True,True,False,False,False,True,1,3,3,1,6,1,15,5,15,-1,-1,2,East
15,5,True,False,True,True,True,False,False,False,True,1,2,3,2,5,1,16,5,17,15,-1,1,East
1,18,False,True,True,False,True,True,True,True,True,5,9,11,3,17,6,25,7,13,25,28,35,South
1,17,True,True,False,False,True,True,True,True,True,5,9,11,3,17,6,25,7,12,24,27,34,South
1,16,True,True,True,False,True,True,True,True,True,5,9,11,3,17,6,25,7,11,23,26,33,South
1,15,True,True,True,False,True,True,True,True,True,5,9,11,3,17,6,25,7,10,22,25,32,South
1,14,True,True,True,False,True,True,True,True,True,5,9,11,3,17,6,25,7,9,21,24,31,South
1,13,True,True,False,False,True,True,True,True,True,5,9,11,3,17,6,25,7,8,20,23,30,South
1,12,True,True,True,False,True,True,True,True,True,5,9,11,3,17,6,25,7,7,19,22,29,South
1,11,True,True,False,False,True,True,True,True,True,5,9,11,3,17,6,25,7,6,18,21,28,South
1,10,True,True,False,False,True,True,True,True,True,5,9,11,3,17,6,25,7,5,17,20,27,South
1,9,True,True,False,False,True,True,True,True,True,5,9,11,3,17,6,25,7,4,16,19,26,South
1,8,True,True,False,False,True,True,True,True,True,5,9,11,3,17,6,25,7,5,15,18,25,South
1,7,True,True,False,False,True,True,True,True,True,5,9,11,3,17,6,25,7,6,14,17,24,South
1,6,True,True,True,False,True,True,True,True,True,5,9,11,3,17,6,25,7,7,13,16,25,East
2,6,False,True,True,True,True,True,True,True,True,5,9,11,3,17,6,25,7,6,12,15,24,East
3,6,True,True,True,True,True,True,True,True,True,5,9,11,3,17,6,25,7,5,11,14,23,East
4,6,True,True,True,True,True,True,True,True,True,5,9,11,3,17,6,25,7,4,10,13,22,East
5,6,True,True,True,True,True,True,True,True,True,5,9,11,3,17,6,25,7,3,9,12,21,North
5,7,True,True,True,True,True,True,True,True,True,5,9,11,3,17,6,25,7,2,10,13,20,North
5,8,True,True,True,True,True,True,True,True,True,5,9,11,3,17,6,25,7,1,11,14,21,North
5,9,True,True,True,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,12,15,22,East
6,9,True,True,False,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,11,14,21,South
6,8,True,True,False,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,10,13,20,South
6,7,True,True,False,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,9,12,19,South
6,6,True,False,True,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,8,11,20,East
7,6,False,False,True,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,7,10,19,East
8,6,True,True,True,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,6,9,18,East
9,6,True,True,True,True,True,False,True,True,True,1,1,11,3,17,6,25,7,-1,5,8,17,East
