@RELATION training_tutorial1.arff

   @ATTRIBUTE ticks NUMERIC
   @ATTRIBUTE screen_dim_x NUMERIC
   @ATTRIBUTE screen_dim_y NUMERIC
   @ATTRIBUTE pacman_pos_x NUMERIC
   @ATTRIBUTE pacman_pos_y NUMERIC
   @ATTRIBUTE legal_North {False, True}
   @ATTRIBUTE legal_South {False, True}
   @ATTRIBUTE legal_East {False, True}
   @ATTRIBUTE legal_West {False, True}
   @ATTRIBUTE legal_Stop {False, True}
   @ATTRIBUTE pacman_dir {East, North, South, Stop, West}
   @ATTRIBUTE ghost_num NUMERIC
   @ATTRIBUTE ghost1_alive {False, True}
   @ATTRIBUTE ghost2_alive {False, True}
   @ATTRIBUTE ghost3_alive {False, True}
   @ATTRIBUTE ghost4_alive {False, True}
   @ATTRIBUTE ghost1_x NUMERIC
   @ATTRIBUTE ghost1_y NUMERIC
   @ATTRIBUTE ghost2_x NUMERIC
   @ATTRIBUTE ghost2_y NUMERIC
   @ATTRIBUTE ghost3_x NUMERIC
   @ATTRIBUTE ghost3_y NUMERIC
   @ATTRIBUTE ghost4_x NUMERIC
   @ATTRIBUTE ghost4_y NUMERIC
   @ATTRIBUTE ghost1_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost2_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost3_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost4_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost1_dist NUMERIC
   @ATTRIBUTE ghost2_dist NUMERIC
   @ATTRIBUTE ghost3_dist NUMERIC
   @ATTRIBUTE ghost4_dist NUMERIC
   @ATTRIBUTE pacdots_remaining NUMERIC
   @ATTRIBUTE nearestpacdot_dist NUMERIC
   @ATTRIBUTE currentTickScore NUMERIC
   @ATTRIBUTE pacman_action {East, North, South, Stop, West, None}
   @ATTRIBUTE nextTickScore NUMERIC

   @data
25, 19, 7, 16, 5, False, False, True, True, True, East, 4, False, False, False, True, 1, 3, 1, 3, 7, 2, 17, 2, South, North, North, North, 17, 17, 12, 3, 14, 1, 1376, East, 1475
26, 19, 7, 17, 5, False, True, False, True, True, East, 4, False, False, False, True, 1, 3, 1, 3, 7, 2, 17, 3, South, North, North, South, 18, 18, 13, 3, 13, 1, 1475, South, 1574
27, 19, 7, 17, 4, True, True, False, False, True, South, 4, False, False, False, True, 1, 3, 1, 4, 7, 3, 17, 2, South, North, North, North, 17, 16, 11, 1, 12, 1, 1574, South, 1773
1, 20, 9, 9, 1, False, False, True, True, True, Stop, 4, True, True, True, True, 8, 5, 10, 5, 11, 5, 17, 7, None, None, None, None, 5, 5, 6, 14, 68, 1, 0, West, 99
2, 20, 9, 8, 1, True, False, True, True, True, West, 4, True, True, True, True, 8, 5, 10, 6, 11, 5, 17, 7, Stop, North, Stop, East, 4, 7, 7, 16, 67, 1, 99, North, 98
3, 20, 9, 8, 2, True, True, False, False, True, North, 4, True, True, True, True, 7, 5, 10, 5, 10, 5, 18, 7, West, South, West, South, 4, 5, 5, 14, 67, 2, 98, North, 97
4, 20, 9, 8, 3, False, True, True, False, True, North, 4, True, True, True, True, 8, 5, 10, 5, 10, 6, 18, 6, East, South, North, South, 2, 4, 5, 12, 67, 2, 97, East, 96
5, 20, 9, 9, 3, True, False, True, True, True, East, 4, True, True, True, True, 7, 5, 10, 6, 10, 6, 18, 5, West, North, North, South, 4, 4, 4, 11, 67, 3, 96, North, 95
6, 20, 9, 9, 4, True, True, False, False, True, North, 4, True, True, True, True, 8, 5, 10, 7, 10, 7, 18, 5, East, North, North, South, 2, 4, 4, 9, 67, 2, 95, North, 94
7, 20, 9, 9, 5, True, True, True, True, True, North, 4, True, True, True, True, 8, 5, 10, 6, 11, 7, 18, 4, East, South, East, South, 1, 2, 4, 10, 67, 1, 94, West, 293
