@relation 'textdump.arff-weka.filters.unsupervised.attribute.Remove-R2-3,11-12,25-34'

@attribute ticks numeric
@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute score numeric
@attribute pacman_action {East,North,South,Stop,West,None}

@data
21,5,8,True,True,True,True,True,True,False,False,True,12,5,3,1,5,1,18,9,380,East
22,6,8,True,True,True,True,True,True,False,False,True,13,5,3,1,5,1,18,9,379,East
23,7,8,True,True,True,True,True,True,False,False,True,14,5,3,1,5,1,18,8,378,East
24,8,8,True,True,True,True,True,True,False,False,True,15,5,3,1,5,1,18,7,377,South
25,8,7,True,True,True,True,True,True,False,False,True,15,4,3,1,5,1,18,7,376,South
26,8,6,True,True,True,False,True,True,False,False,True,16,4,3,1,5,1,18,6,375,South
27,8,5,True,True,True,True,True,True,False,False,True,16,3,3,1,5,1,18,7,374,East
28,9,5,True,True,True,True,True,True,False,False,True,16,3,3,1,5,1,18,6,373,East
29,10,5,True,True,True,True,True,True,False,False,True,16,3,3,1,5,1,18,5,372,East
30,11,5,False,True,True,True,True,True,False,False,True,16,3,3,1,5,1,17,5,371,East
31,12,5,False,False,True,True,True,True,False,False,True,16,3,3,1,5,1,17,5,370,East
32,13,5,False,True,True,True,True,True,False,False,True,17,3,3,1,5,1,18,5,369,East
33,14,5,True,True,True,True,True,True,False,False,True,16,3,3,1,5,1,17,5,368,East
34,15,5,False,True,True,True,True,True,False,False,True,17,3,3,1,5,1,17,5,367,South
35,15,4,True,True,True,True,True,True,False,False,True,18,3,3,1,5,1,17,5,366,South
36,15,3,True,False,True,True,True,True,False,False,True,18,4,3,1,5,1,16,5,365,East
37,16,3,True,False,True,True,True,True,False,False,True,18,3,3,1,5,1,16,4,364,East
38,17,3,True,False,True,True,True,False,False,False,True,1,1,3,1,5,1,16,5,563,North
39,17,4,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,16,5,562,North
40,17,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,15,5,561,West
1,1,11,False,True,True,False,True,True,True,True,True,6,5,6,9,8,11,14,6,0,Stop
2,1,11,False,True,True,False,True,True,True,True,True,6,4,6,9,7,11,14,6,-1,East
3,2,11,False,False,True,True,True,True,True,True,True,7,4,6,9,8,11,14,5,-2,East
4,3,11,False,False,True,True,True,True,True,True,True,6,4,7,9,9,11,15,5,-3,East
5,4,11,False,False,True,True,True,True,True,True,True,5,4,7,9,10,11,15,4,-4,East
6,5,11,False,True,True,True,True,True,True,True,True,5,4,7,8,9,11,15,4,-5,East
7,6,11,False,True,True,True,True,True,True,True,True,6,4,7,7,10,11,16,4,-6,East
8,7,11,False,False,True,True,True,True,True,True,True,6,3,7,8,9,11,16,5,-7,East
9,8,11,False,False,True,True,True,True,True,True,True,5,3,6,8,10,11,15,5,-8,East
10,9,11,False,False,True,True,True,True,True,False,True,5,3,6,9,5,1,15,4,191,East
11,10,11,False,True,True,True,True,True,True,False,True,5,4,6,9,5,1,15,3,190,South
12,10,10,True,True,True,False,True,True,True,False,True,5,4,6,8,5,1,14,3,189,South
13,10,9,True,True,True,True,True,True,True,False,True,4,4,5,8,5,1,14,3,188,West
14,9,9,False,True,True,True,True,True,True,False,True,4,4,5,7,5,1,13,3,187,West
15,8,9,False,True,True,True,True,True,True,False,True,5,4,5,7,5,1,13,4,186,West
16,7,9,False,True,True,True,True,True,True,False,True,5,5,4,7,5,1,14,4,185,South
17,7,8,True,True,True,True,True,True,True,False,True,6,5,4,7,5,1,14,4,184,South
18,7,7,True,False,True,True,True,True,True,False,True,7,5,5,7,5,1,14,5,183,West
19,6,7,True,False,True,True,True,True,True,False,True,8,5,5,8,5,1,15,5,182,West
20,5,7,True,False,True,True,True,True,True,False,True,8,4,5,8,5,1,14,5,181,West
21,4,7,True,False,True,True,True,True,True,False,True,8,5,4,8,5,1,14,4,180,West
22,3,7,True,False,True,True,True,True,True,False,True,7,5,4,9,5,1,15,4,179,North
23,3,8,True,True,True,True,True,True,True,False,True,7,4,4,9,5,1,15,5,178,East
24,4,8,True,True,True,True,True,True,False,False,True,6,4,3,1,5,1,15,5,377,East
25,5,8,True,True,True,True,True,True,False,False,True,6,4,3,1,5,1,14,5,376,North
26,5,9,True,True,True,True,True,True,False,False,True,6,5,3,1,5,1,14,4,375,North
27,5,10,True,True,True,False,True,True,False,False,True,7,5,3,1,5,1,14,3,374,East
28,6,10,True,True,False,True,True,True,False,False,True,8,5,3,1,5,1,15,3,373,Stop
29,6,10,True,True,False,True,True,True,False,False,True,8,4,3,1,5,1,14,3,372,South
30,6,9,True,True,True,True,True,True,False,False,True,8,5,3,1,5,1,14,4,371,South
31,6,8,True,True,True,True,True,True,False,False,True,8,5,3,1,5,1,14,3,370,South
32,6,7,True,False,True,True,True,True,False,False,True,8,6,3,1,5,1,14,3,369,East
33,7,7,True,False,True,True,True,True,False,False,True,8,6,3,1,5,1,13,3,368,East
34,8,7,True,True,True,True,True,True,False,False,True,8,5,3,1,5,1,13,4,367,South
35,8,6,True,True,True,False,True,True,False,False,True,8,5,3,1,5,1,13,5,366,South
36,8,5,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,12,5,565,South
37,8,4,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,13,5,564,East
38,9,4,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,13,4,563,East
39,10,4,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,14,4,562,North
40,10,5,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,14,5,561,East
41,11,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,15,5,560,East
42,12,5,False,False,True,True,True,False,False,False,True,1,1,3,1,5,1,14,5,559,East
43,13,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,14,4,558,East
44,14,5,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,13,4,557,East
45,15,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,13,4,556,South
46,15,4,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,13,4,555,West
47,14,4,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,13,5,554,West
48,13,4,True,True,True,False,True,False,False,False,True,1,1,3,1,5,1,14,5,553,North
1,1,11,False,True,True,False,True,True,True,True,True,6,5,6,9,8,11,14,6,0,Stop
2,1,11,False,True,True,False,True,True,True,True,True,6,4,5,9,7,11,14,6,-1,East
3,2,11,False,False,True,True,True,True,True,True,True,6,3,5,9,6,11,14,5,-2,East
4,3,11,False,False,True,True,True,True,True,True,True,6,3,4,9,7,11,14,6,-3,East
5,4,11,False,False,True,True,True,True,True,True,True,6,4,3,9,6,11,14,7,-4,East
6,5,11,False,True,True,True,True,True,True,True,True,5,4,3,8,6,11,15,7,-5,East
7,6,11,False,True,True,True,True,True,True,False,True,5,5,3,8,5,1,16,7,194,South
8,6,10,True,True,False,True,True,True,True,False,True,5,5,3,9,5,1,16,7,193,South
9,6,9,True,True,True,True,True,True,True,False,True,4,5,2,9,5,1,17,7,192,West
10,5,9,True,True,True,True,True,True,True,False,True,4,4,3,9,5,1,17,8,191,West
11,4,9,False,True,True,True,True,True,False,False,True,4,5,3,1,5,1,17,8,390,West
12,3,9,False,True,True,True,True,True,False,False,True,4,4,3,1,5,1,17,7,389,South
13,3,8,True,True,True,True,True,True,False,False,True,4,3,3,1,5,1,17,7,388,South
14,3,7,True,False,True,True,True,True,False,False,True,4,4,3,1,5,1,17,7,387,West
15,2,7,True,False,True,True,True,True,False,False,True,5,4,3,1,5,1,17,7,386,West
16,1,7,True,True,True,False,True,True,False,False,True,5,5,3,1,5,1,16,7,385,South
17,1,6,True,True,False,False,True,True,False,False,True,5,4,3,1,5,1,16,7,384,South
18,1,5,True,True,True,False,True,True,False,False,True,4,4,3,1,5,1,17,7,383,East
19,2,5,False,True,True,True,True,True,False,False,True,5,4,3,1,5,1,17,8,382,East
20,3,5,False,True,True,True,True,True,False,False,True,6,4,3,1,5,1,17,9,381,East
21,4,5,False,True,True,True,True,True,False,False,True,6,3,3,1,5,1,17,9,380,East
22,5,5,False,True,True,True,True,True,False,False,True,6,3,3,1,5,1,17,9,379,East
23,6,5,False,True,True,True,True,True,False,False,True,6,4,3,1,5,1,17,9,378,South
24,6,4,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,17,9,577,South
25,6,3,True,False,True,True,True,False,False,False,True,1,1,3,1,5,1,18,9,576,East
26,7,3,True,False,True,True,True,False,False,False,True,1,1,3,1,5,1,18,9,575,East
27,8,3,True,False,True,True,True,False,False,False,True,1,1,3,1,5,1,18,9,574,North
28,8,4,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,17,9,573,East
29,9,4,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,17,8,572,East
30,10,4,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,16,8,571,East
31,11,4,True,True,False,True,True,False,False,False,True,1,1,3,1,5,1,16,9,570,North
32,11,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,16,8,569,East
33,12,5,False,False,True,True,True,False,False,False,True,1,1,3,1,5,1,16,8,568,East
