@relation 'training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R1-12,17-28,36-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute ghost1_alive=True numeric
@attribute ghost2_alive=True numeric
@attribute ghost3_alive=True numeric
@attribute ghost4_alive=True numeric
@attribute ghost1_dist numeric
@attribute ghost2_dist numeric
@attribute ghost3_dist numeric
@attribute ghost4_dist numeric
@attribute pacdots_remaining numeric
@attribute nearestpacdot_dist numeric
@attribute currentTickScore numeric
@attribute nextTickScore numeric

@data
0,0,0,1,-1,-1,-1,3,0,-1,518,517
0,0,0,1,-1,-1,-1,4,0,-1,517,516
0,0,0,1,-1,-1,-1,4,0,-1,516,515
0,0,0,1,-1,-1,-1,2,0,-1,515,514
0,0,0,1,-1,-1,-1,2,0,-1,514,513
0,0,0,1,-1,-1,-1,2,0,-1,513,512
0,0,0,1,-1,-1,-1,4,0,-1,512,511
0,0,0,1,-1,-1,-1,4,0,-1,511,510
0,0,0,1,-1,-1,-1,3,0,-1,510,509
0,0,0,1,-1,-1,-1,3,0,-1,509,508
0,0,0,1,-1,-1,-1,1,0,-1,508,707
1,1,1,1,5,5,6,14,68,1,0,-1
1,1,1,1,5,6,6,15,68,1,-1,-2
1,1,1,1,4,6,5,14,68,1,-2,-3
1,1,1,1,5,5,6,15,68,1,-3,-4
1,1,1,1,5,5,7,14,68,1,-4,-5
1,1,1,1,4,6,8,14,68,1,-5,94
1,1,1,1,5,8,9,16,67,1,94,93
1,1,1,1,5,6,9,15,67,2,93,92
1,1,1,1,4,5,8,14,67,2,92,91
1,1,1,1,5,5,7,14,67,2,91,90
1,1,1,1,6,6,8,13,67,2,90,89
1,1,1,1,5,6,7,13,67,3,89,88
1,1,1,1,5,4,7,11,67,2,88,87
1,1,1,1,3,4,6,11,67,1,87,186
1,1,1,1,1,2,5,9,66,1,186,485
0,1,1,1,-1,1,5,10,65,1,485,784
0,0,1,1,14,-1,3,9,64,1,784,883
0,0,1,1,14,-1,1,7,63,1,883,1182
0,0,0,1,16,-1,-1,6,62,1,1182,1281
0,0,0,1,17,-1,-1,5,61,1,1281,1380
0,0,0,1,-1,-1,-1,6,60,1,1380,1479
0,0,0,1,-1,-1,-1,7,59,1,1479,1578
0,0,0,1,16,11,-1,5,58,1,1578,1677
0,0,0,1,-1,12,12,3,57,1,1677,1776
0,0,0,1,18,12,-1,3,56,1,1776,1875
0,0,0,1,18,12,14,5,55,1,1875,1974
0,0,0,1,18,12,-1,5,54,2,1974,1973
0,0,0,1,20,12,-1,4,54,2,1973,1972
0,0,0,1,20,14,-1,3,54,1,1972,2071
0,0,0,1,20,14,-1,3,53,1,2071,2170
0,0,0,1,18,13,-1,2,52,1,2170,2269
0,0,0,1,18,13,-1,2,51,1,2269,2368
0,0,0,1,18,13,-1,1,50,1,2368,2567
1,1,1,1,5,5,6,14,68,1,0,-1
1,1,1,1,6,5,5,15,68,1,-1,-2
1,1,1,1,7,6,6,15,68,1,-2,-3
1,1,1,1,7,7,5,14,68,1,-3,-4
1,1,1,1,8,6,5,14,68,1,-4,-5
1,1,1,1,7,7,6,15,68,1,-5,-6
1,1,1,1,7,7,5,14,68,1,-6,-7
1,1,1,1,7,7,6,15,68,1,-7,92
1,1,1,1,5,7,8,15,67,1,92,91
1,1,1,1,5,7,8,14,67,2,91,90
1,1,1,1,3,6,6,13,67,2,90,89
1,1,1,1,4,6,5,13,67,3,89,88
1,1,1,1,6,5,5,11,67,2,88,87
1,1,1,1,7,5,4,11,67,2,87,86
1,1,1,1,7,5,5,10,67,2,86,85
1,1,1,1,7,5,5,9,67,2,85,84
1,1,1,1,5,3,7,11,67,2,84,83
1,1,1,1,3,5,7,13,67,3,83,82
1,1,1,1,5,3,6,12,67,2,82,81
1,1,1,1,7,2,4,11,67,1,81,80
1,1,1,1,7,4,6,11,67,2,80,79
1,1,1,1,7,6,6,11,67,1,79,178
1,1,1,1,6,8,6,13,66,1,178,277
1,1,1,1,5,8,6,14,65,1,277,376
1,1,1,1,-1,9,7,16,64,1,376,475
1,1,1,1,-1,10,7,16,63,1,475,574
